codigo_sku,nome_peca,fabricante,quantidade_estoque,localizacao_corredor,preco_venda
SCR-95609-X,Filtro de Óleo Moura - Corolla,Moura,140,COR-1-C,890.78
SCR-10024-X,Vela de Ignição Cofap - Compass,Cofap,5,COR-7-C,897.61
SCR-41907-B,Sensor de Oxigênio NGK - Gol G5,NGK,46,COR-5-C,489.34
SCR-13290-B,Radiador Fram - HB20,Fram,141,COR-20-B,649.65
SCR-17655-A,Palheta Magneti Marelli - Hilux,Magneti Marelli,136,COR-8-C,493.65
SCR-98555-X,Lâmpada H4 Moura - Hilux,Moura,76,COR-9-C,488.31
SCR-13569-X,Pivô de Suspensão Fram - Gol G5,Fram,136,COR-8-A,1084.56
SCR-83546-A,Pivô de Suspensão Moura - Civic,Moura,73,COR-5-C,1170.17
SCR-53850-X,Pastilha de Freio Magneti Marelli - Onix,Magneti Marelli,20,COR-13-C,233.53
SCR-83485-B,Bomba d'Água Moura - Corolla,Moura,108,COR-14-B,197.51
SCR-75644-A,Lâmpada H4 Moura - Gol G5,Moura,23,COR-2-B,1108.3
SCR-72971-A,Bomba d'Água Bosch - Compass,Bosch,67,COR-15-B,733.71
SCR-15760-B,Cabo de Vela Fram - Onix,Fram,97,COR-16-A,366.01
SCR-13110-B,Disco de Freio Cofap - Corolla,Cofap,70,COR-17-A,611.89
SCR-12614-X,Filtro de Óleo NGK - Gol G5,NGK,77,COR-15-C,742.78
SCR-99002-X,Palheta Bosch - Fiat Uno,Bosch,53,COR-5-A,1166.24
SCR-33460-B,Disco de Freio Moura - Gol G5,Moura,6,COR-10-A,455.07
SCR-57465-A,Pastilha de Freio Monroe - HB20,Monroe,102,COR-18-C,253.36
SCR-67413-X,Bateria 60Ah NGK - Fiat Uno,NGK,144,COR-11-C,893.17
SCR-87701-A,Junta Homocinética Fram - Onix,Fram,56,COR-15-C,1105.41
SCR-27945-A,Pivô de Suspensão Cofap - HB20,Cofap,44,COR-12-A,169.5
SCR-35986-B,Bomba d'Água Nakata - Hilux,Nakata,69,COR-16-A,988.73
SCR-22225-X,Disco de Freio Moura - Compass,Moura,27,COR-12-A,321.2
SCR-89814-B,Vela de Ignição Nakata - Civic,Nakata,38,COR-11-C,787.02
SCR-32741-B,Radiador Nakata - Palio,Nakata,141,COR-6-C,664.72
SCR-30143-A,Lâmpada H4 Magneti Marelli - Fiat Uno,Magneti Marelli,33,COR-5-C,686.04
SCR-21671-A,Vela de Ignição Nakata - Corolla,Nakata,46,COR-9-A,320.0
SCR-77668-X,Pastilha de Freio Magneti Marelli - Civic,Magneti Marelli,7,COR-9-B,715.98
SCR-69935-X,Junta Homocinética Fram - Gol G5,Fram,108,COR-12-C,388.99
SCR-94719-X,Palheta Cofap - Fiat Uno,Cofap,115,COR-2-A,1001.13
SCR-42436-B,Filtro de Óleo Magneti Marelli - Corolla,Magneti Marelli,104,COR-15-B,567.84
SCR-89751-X,Disco de Freio Bosch - HB20,Bosch,38,COR-4-B,1191.37
SCR-15001-X,Palheta Bosch - Palio,Bosch,123,COR-12-B,229.85
SCR-65339-X,Junta Homocinética NGK - Gol G5,NGK,108,COR-10-A,324.65
SCR-39278-A,Filtro de Óleo Bosch - Civic,Bosch,126,COR-3-A,217.14
SCR-83673-X,Cabo de Vela Fram - Palio,Fram,125,COR-14-B,1106.67
SCR-37522-B,Bomba d'Água NGK - Gol G5,NGK,87,COR-1-A,877.67
SCR-15707-A,Disco de Freio NGK - Onix,NGK,73,COR-17-B,825.61
SCR-67602-B,Cabo de Vela Cofap - Fiat Uno,Cofap,74,COR-20-B,430.58
SCR-60842-B,Radiador Monroe - Corolla,Monroe,124,COR-18-C,632.36
SCR-18381-X,Correia Dentada Nakata - Palio,Nakata,77,COR-14-B,420.79
SCR-97746-B,Filtro de Óleo Fram - Onix,Fram,100,COR-10-B,772.44
SCR-25402-B,Amortecedor Monroe - Palio,Monroe,95,COR-5-B,638.19
SCR-44113-A,Cabo de Vela Bosch - Palio,Bosch,93,COR-7-A,400.72
SCR-77912-X,Pivô de Suspensão Cofap - Fiat Uno,Cofap,144,COR-1-B,938.34
SCR-47444-A,Filtro de Óleo Moura - Fiat Uno,Moura,127,COR-5-C,609.36
SCR-81362-X,Cabo de Vela Cofap - Civic,Cofap,147,COR-4-C,732.53
SCR-86406-A,Bateria 60Ah Cofap - Hilux,Cofap,81,COR-1-A,464.35
SCR-36050-A,Bateria 60Ah Nakata - Civic,Nakata,102,COR-11-B,392.48
SCR-40043-B,Pastilha de Freio Bosch - Onix,Bosch,31,COR-8-A,788.27
SCR-67485-X,Vela de Ignição Moura - Gol G5,Moura,80,COR-5-A,1030.72
SCR-51699-X,Bateria 60Ah Nakata - Onix,Nakata,55,COR-18-C,1036.25
SCR-86208-X,Correia Dentada Cofap - HB20,Cofap,28,COR-13-A,1016.3
SCR-44079-X,Pivô de Suspensão Nakata - Gol G5,Nakata,140,COR-11-C,181.74
SCR-51031-A,Pivô de Suspensão Nakata - Compass,Nakata,81,COR-2-A,620.79
SCR-93880-B,Pastilha de Freio Magneti Marelli - Fiat Uno,Magneti Marelli,116,COR-9-A,963.38
SCR-73915-A,Bateria 60Ah Fram - Hilux,Fram,61,COR-11-B,907.64
SCR-27295-X,Amortecedor Fram - Compass,Fram,33,COR-1-A,740.79
SCR-42579-B,Lâmpada H4 Monroe - Hilux,Monroe,119,COR-15-A,516.32
SCR-51796-B,Amortecedor Nakata - Gol G5,Nakata,125,COR-6-A,728.42
SCR-82670-B,Pastilha de Freio Cofap - HB20,Cofap,54,COR-5-A,338.03
SCR-71239-X,Disco de Freio Bosch - Onix,Bosch,88,COR-2-C,15.44
SCR-89948-A,Disco de Freio Moura - Fiat Uno,Moura,40,COR-11-B,935.27
SCR-88202-A,Filtro de Óleo Cofap - Compass,Cofap,139,COR-4-C,617.31
SCR-46474-B,Filtro de Óleo Magneti Marelli - Onix,Magneti Marelli,139,COR-11-B,1024.51
SCR-23302-A,Disco de Freio Moura - Fiat Uno,Moura,145,COR-17-B,1124.72
SCR-99814-B,Radiador Bosch - Compass,Bosch,20,COR-1-B,635.64
SCR-57133-X,Pastilha de Freio Fram - Civic,Fram,119,COR-10-A,186.54
SCR-29923-X,Filtro de Óleo Fram - Corolla,Fram,134,COR-18-C,649.9
SCR-71114-X,Pivô de Suspensão Magneti Marelli - Onix,Magneti Marelli,34,COR-19-C,820.63
SCR-49098-B,Pastilha de Freio Bosch - HB20,Bosch,134,COR-7-C,107.51
SCR-81352-A,Filtro de Óleo Moura - Onix,Moura,103,COR-3-A,267.19
SCR-48613-A,Disco de Freio NGK - Onix,NGK,114,COR-8-C,599.16
SCR-89400-A,Sensor de Oxigênio Bosch - Fiat Uno,Bosch,81,COR-20-C,558.13
SCR-81937-A,Pastilha de Freio NGK - Hilux,NGK,100,COR-12-B,939.73
SCR-73542-B,Junta Homocinética Moura - Onix,Moura,73,COR-8-C,582.59
SCR-85602-A,Palheta Magneti Marelli - Onix,Magneti Marelli,20,COR-12-A,803.75
SCR-40936-X,Vela de Ignição Monroe - Fiat Uno,Monroe,40,COR-13-B,41.11
SCR-29730-A,Lâmpada H4 Bosch - Hilux,Bosch,2,COR-2-B,1090.28
SCR-54196-A,Bomba d'Água NGK - Fiat Uno,NGK,27,COR-18-C,64.39
SCR-83124-A,Filtro de Óleo Moura - Hilux,Moura,67,COR-19-C,95.82
SCR-29336-X,Radiador Bosch - Gol G5,Bosch,73,COR-4-C,417.21
SCR-55089-X,Bateria 60Ah NGK - Fiat Uno,NGK,16,COR-18-B,288.86
SCR-43022-X,Vela de Ignição Magneti Marelli - Corolla,Magneti Marelli,114,COR-4-C,621.2
SCR-80330-X,Cabo de Vela Magneti Marelli - Hilux,Magneti Marelli,128,COR-11-C,308.63
SCR-10952-X,Radiador Bosch - Gol G5,Bosch,59,COR-1-A,1067.44
SCR-23200-A,Lâmpada H4 NGK - Hilux,NGK,11,COR-6-C,1087.73
SCR-38676-B,Sensor de Oxigênio NGK - Palio,NGK,88,COR-1-C,966.75
SCR-15825-A,Pastilha de Freio Monroe - Onix,Monroe,114,COR-7-C,894.28
SCR-68947-B,Amortecedor Moura - Corolla,Moura,112,COR-19-C,516.6
SCR-88512-X,Bateria 60Ah Fram - Gol G5,Fram,136,COR-12-A,1004.32
SCR-53920-B,Disco de Freio Nakata - Compass,Nakata,81,COR-3-A,509.45
SCR-87044-A,Radiador NGK - Fiat Uno,NGK,35,COR-7-C,624.38
SCR-56402-X,Radiador Moura - Corolla,Moura,102,COR-15-C,153.05
SCR-80350-X,Sensor de Oxigênio Monroe - Civic,Monroe,86,COR-9-B,1186.09
SCR-69350-A,Amortecedor Fram - Onix,Fram,17,COR-8-B,1048.8
SCR-34903-A,Palheta Nakata - Gol G5,Nakata,141,COR-10-B,731.24
SCR-39292-A,Sensor de Oxigênio NGK - Palio,NGK,5,COR-19-A,605.81
SCR-15985-X,Pastilha de Freio Cofap - Corolla,Cofap,144,COR-13-B,1157.44
SCR-77416-A,Pivô de Suspensão NGK - HB20,NGK,13,COR-7-A,130.53
SCR-12833-B,Cabo de Vela Nakata - Compass,Nakata,68,COR-10-A,982.8
SCR-99210-B,Cabo de Vela NGK - Gol G5,NGK,65,COR-8-C,362.27
SCR-95261-X,Lâmpada H4 Fram - Civic,Fram,83,COR-19-B,486.79
SCR-60143-X,Filtro de Óleo Nakata - Civic,Nakata,95,COR-4-A,1051.8
SCR-17241-B,Vela de Ignição Monroe - Hilux,Monroe,80,COR-9-C,924.86
SCR-25744-B,Filtro de Óleo NGK - Civic,NGK,116,COR-8-A,448.33
SCR-84829-B,Pivô de Suspensão Fram - HB20,Fram,6,COR-19-A,639.89
SCR-28651-A,Vela de Ignição NGK - Gol G5,NGK,21,COR-6-C,156.92
SCR-80987-A,Bomba d'Água Monroe - Civic,Monroe,139,COR-15-B,685.43
SCR-88802-A,Radiador Magneti Marelli - Fiat Uno,Magneti Marelli,70,COR-16-A,433.76
SCR-86102-B,Palheta Moura - Hilux,Moura,89,COR-16-C,533.91
SCR-56115-A,Bateria 60Ah Fram - Fiat Uno,Fram,71,COR-17-A,711.67
SCR-16260-A,Vela de Ignição Cofap - HB20,Cofap,68,COR-15-A,1040.01
SCR-19205-B,Vela de Ignição Fram - Corolla,Fram,95,COR-2-C,681.02
SCR-43209-A,Junta Homocinética Cofap - Corolla,Cofap,35,COR-4-B,149.78
SCR-25355-B,Filtro de Óleo NGK - Civic,NGK,87,COR-20-C,527.39
SCR-31788-X,Disco de Freio Bosch - HB20,Bosch,88,COR-7-B,297.34
SCR-70083-X,Sensor de Oxigênio NGK - Compass,NGK,14,COR-18-A,957.15
SCR-75093-X,Radiador NGK - HB20,NGK,150,COR-14-C,460.45
SCR-30985-B,Junta Homocinética NGK - Corolla,NGK,57,COR-9-C,169.79
SCR-70738-A,Junta Homocinética Cofap - Civic,Cofap,44,COR-20-C,1076.76
SCR-59974-A,Sensor de Oxigênio Fram - Onix,Fram,17,COR-4-C,539.92
SCR-97847-X,Pivô de Suspensão Nakata - Gol G5,Nakata,78,COR-3-C,101.1
SCR-32941-A,Lâmpada H4 NGK - Hilux,NGK,109,COR-12-A,836.28
SCR-24646-A,Pivô de Suspensão Magneti Marelli - Gol G5,Magneti Marelli,1,COR-6-B,782.21
SCR-58485-X,Disco de Freio Nakata - Gol G5,Nakata,14,COR-13-A,854.88
SCR-17405-B,Bateria 60Ah Monroe - Civic,Monroe,64,COR-8-A,770.87
SCR-66695-A,Bateria 60Ah Cofap - Corolla,Cofap,118,COR-1-A,460.34
SCR-27598-B,Bomba d'Água Fram - Palio,Fram,46,COR-18-C,817.49
SCR-48737-B,Vela de Ignição Fram - Gol G5,Fram,113,COR-5-C,1142.57
SCR-63673-B,Cabo de Vela NGK - Hilux,NGK,55,COR-17-C,1060.75
SCR-96575-X,Cabo de Vela NGK - Corolla,NGK,126,COR-8-B,367.86
SCR-35692-X,Cabo de Vela NGK - Onix,NGK,73,COR-16-B,717.51
SCR-49090-A,Junta Homocinética NGK - HB20,NGK,45,COR-1-C,104.66
SCR-17349-A,Cabo de Vela Monroe - Fiat Uno,Monroe,11,COR-8-A,619.43
SCR-26338-X,Correia Dentada Nakata - HB20,Nakata,93,COR-12-C,548.45
SCR-85633-X,Vela de Ignição Bosch - Compass,Bosch,19,COR-9-B,1079.53
SCR-30126-A,Cabo de Vela Magneti Marelli - Compass,Magneti Marelli,124,COR-11-A,1080.46
SCR-58612-A,Junta Homocinética Moura - Fiat Uno,Moura,131,COR-5-C,501.35
SCR-46289-B,Bateria 60Ah Monroe - Hilux,Monroe,5,COR-8-C,849.76
SCR-58278-B,Pastilha de Freio Moura - Civic,Moura,14,COR-11-B,935.5
SCR-82117-A,Sensor de Oxigênio Monroe - Palio,Monroe,92,COR-9-A,181.63
SCR-12837-B,Pivô de Suspensão Monroe - Hilux,Monroe,7,COR-4-A,1191.16
SCR-30163-B,Disco de Freio Cofap - Civic,Cofap,140,COR-4-A,1168.47
SCR-17881-X,Bomba d'Água Moura - Gol G5,Moura,5,COR-19-B,462.73
SCR-65427-X,Pastilha de Freio Monroe - Civic,Monroe,24,COR-3-B,484.08
SCR-20645-A,Palheta Nakata - Corolla,Nakata,114,COR-14-C,165.4
SCR-81948-X,Filtro de Óleo Magneti Marelli - Civic,Magneti Marelli,26,COR-19-B,827.04
SCR-83846-X,Bomba d'Água Bosch - Fiat Uno,Bosch,25,COR-7-B,246.7
SCR-25140-A,Pivô de Suspensão Moura - Civic,Moura,143,COR-5-B,660.86
SCR-42070-A,Bomba d'Água Cofap - Compass,Cofap,107,COR-9-C,534.63
SCR-60987-A,Palheta Cofap - Hilux,Cofap,17,COR-14-C,641.17
SCR-70402-X,Pastilha de Freio Fram - HB20,Fram,108,COR-7-A,794.59
SCR-87345-A,Correia Dentada Bosch - Civic,Bosch,129,COR-1-A,655.88
SCR-22862-B,Vela de Ignição Fram - Compass,Fram,56,COR-15-B,756.88
SCR-59159-B,Bomba d'Água NGK - Civic,NGK,80,COR-9-A,828.18
SCR-83596-A,Bateria 60Ah Moura - Palio,Moura,52,COR-14-A,1068.5
SCR-32604-X,Bomba d'Água Moura - Civic,Moura,20,COR-7-A,1133.66
SCR-12117-B,Pivô de Suspensão Nakata - Compass,Nakata,6,COR-18-C,360.91
SCR-21676-B,Bateria 60Ah Nakata - Palio,Nakata,140,COR-15-B,148.92
SCR-50816-A,Sensor de Oxigênio Monroe - Palio,Monroe,93,COR-8-B,956.24
SCR-97675-X,Correia Dentada Bosch - Palio,Bosch,52,COR-1-B,1056.41
SCR-88191-X,Bateria 60Ah Fram - Fiat Uno,Fram,6,COR-1-B,845.86
SCR-47909-B,Bateria 60Ah Magneti Marelli - HB20,Magneti Marelli,62,COR-13-A,1004.29
SCR-53279-B,Amortecedor Nakata - Palio,Nakata,144,COR-8-A,611.94
SCR-23947-A,Bomba d'Água Moura - Palio,Moura,136,COR-16-B,985.02
SCR-13739-B,Vela de Ignição Moura - Compass,Moura,68,COR-4-A,1128.81
SCR-43856-X,Amortecedor Moura - Compass,Moura,3,COR-15-B,437.51
SCR-36528-X,Correia Dentada NGK - Hilux,NGK,47,COR-20-C,194.58
SCR-25070-B,Pivô de Suspensão Fram - HB20,Fram,88,COR-6-C,921.93
SCR-92026-A,Radiador Nakata - HB20,Nakata,83,COR-4-C,548.37
SCR-40606-A,Pastilha de Freio Bosch - Fiat Uno,Bosch,140,COR-4-C,182.8
SCR-17244-X,Disco de Freio Nakata - Onix,Nakata,8,COR-5-A,299.03
SCR-62366-A,Cabo de Vela Cofap - HB20,Cofap,67,COR-12-C,879.03
SCR-52400-X,Correia Dentada NGK - Fiat Uno,NGK,123,COR-19-B,861.67
SCR-44257-A,Cabo de Vela Fram - Fiat Uno,Fram,87,COR-10-C,833.18
SCR-96315-A,Disco de Freio Fram - Civic,Fram,12,COR-1-A,26.84
SCR-63728-X,Palheta Cofap - Compass,Cofap,62,COR-2-A,238.46
SCR-96591-A,Vela de Ignição Bosch - Gol G5,Bosch,135,COR-10-B,262.82
SCR-29022-A,Cabo de Vela Moura - Compass,Moura,143,COR-18-C,304.49
SCR-53118-B,Disco de Freio Cofap - Onix,Cofap,14,COR-19-B,836.68
SCR-76451-B,Radiador Nakata - Compass,Nakata,49,COR-1-C,490.51
SCR-91956-B,Vela de Ignição Bosch - HB20,Bosch,98,COR-18-A,409.47
SCR-97666-B,Disco de Freio Nakata - Hilux,Nakata,61,COR-9-B,346.78
SCR-80938-B,Sensor de Oxigênio Moura - Fiat Uno,Moura,54,COR-14-C,404.25
SCR-98469-B,Vela de Ignição NGK - Civic,NGK,102,COR-12-C,657.27
SCR-87608-X,Amortecedor Nakata - Fiat Uno,Nakata,21,COR-1-B,963.63
SCR-95201-X,Pivô de Suspensão Nakata - Onix,Nakata,133,COR-10-C,143.48
SCR-72353-X,Palheta Nakata - Fiat Uno,Nakata,9,COR-5-C,1097.42
SCR-60196-A,Junta Homocinética Magneti Marelli - Compass,Magneti Marelli,99,COR-13-A,913.43
SCR-53659-B,Junta Homocinética Moura - Palio,Moura,25,COR-8-B,1043.8
SCR-84632-X,Correia Dentada NGK - Corolla,NGK,119,COR-15-C,955.73
SCR-51413-X,Pastilha de Freio Magneti Marelli - Civic,Magneti Marelli,25,COR-8-A,525.47
SCR-21723-B,Correia Dentada Magneti Marelli - Fiat Uno,Magneti Marelli,140,COR-8-B,833.14
SCR-12374-A,Cabo de Vela Moura - Compass,Moura,125,COR-7-C,303.31
SCR-97238-A,Junta Homocinética Bosch - HB20,Bosch,6,COR-14-A,808.53
SCR-57364-X,Amortecedor Fram - Gol G5,Fram,22,COR-8-A,366.58
SCR-29570-X,Disco de Freio Cofap - Compass,Cofap,1,COR-6-C,977.68
SCR-61327-X,Filtro de Óleo NGK - Fiat Uno,NGK,131,COR-16-B,886.31
SCR-18533-X,Bomba d'Água Cofap - Civic,Cofap,31,COR-10-C,1116.48
SCR-71353-X,Radiador Fram - Civic,Fram,99,COR-8-B,1042.66
SCR-59222-X,Lâmpada H4 NGK - Gol G5,NGK,30,COR-4-C,492.82
SCR-11787-X,Vela de Ignição NGK - Hilux,NGK,129,COR-7-C,901.12
SCR-64162-B,Disco de Freio Moura - Hilux,Moura,99,COR-10-C,658.18
SCR-63916-B,Bateria 60Ah Magneti Marelli - Hilux,Magneti Marelli,70,COR-19-B,919.65
SCR-57702-X,Lâmpada H4 Cofap - Corolla,Cofap,102,COR-12-B,715.92
SCR-38681-A,Palheta NGK - Compass,NGK,120,COR-13-B,295.52
SCR-70944-X,Sensor de Oxigênio Moura - Onix,Moura,18,COR-8-A,355.44
SCR-86654-A,Lâmpada H4 Fram - Palio,Fram,22,COR-11-A,544.43
SCR-52818-B,Amortecedor NGK - HB20,NGK,81,COR-16-C,351.67
SCR-52020-B,Vela de Ignição Monroe - Onix,Monroe,91,COR-6-A,742.59
SCR-56897-A,Sensor de Oxigênio Nakata - Gol G5,Nakata,100,COR-12-A,481.99
SCR-80150-B,Palheta Nakata - Onix,Nakata,99,COR-19-C,770.27
SCR-48381-X,Bomba d'Água Cofap - Gol G5,Cofap,5,COR-6-B,296.72
SCR-87304-B,Pivô de Suspensão Nakata - Civic,Nakata,93,COR-16-A,189.48
SCR-69086-B,Filtro de Óleo Nakata - Palio,Nakata,115,COR-16-B,712.35
SCR-43900-B,Lâmpada H4 Cofap - HB20,Cofap,27,COR-1-B,562.47
SCR-50925-X,Bateria 60Ah NGK - Fiat Uno,NGK,61,COR-12-C,215.7
SCR-79671-X,Radiador Fram - Hilux,Fram,145,COR-1-C,289.75
SCR-78899-X,Pivô de Suspensão Cofap - HB20,Cofap,79,COR-1-A,1075.99
SCR-34996-A,Vela de Ignição Moura - Fiat Uno,Moura,67,COR-20-B,686.74
SCR-80007-B,Lâmpada H4 Fram - Gol G5,Fram,59,COR-15-A,438.41
SCR-92124-B,Amortecedor Nakata - Compass,Nakata,147,COR-9-A,838.42
SCR-63106-A,Pivô de Suspensão Cofap - Compass,Cofap,90,COR-18-B,598.28
SCR-23651-X,Vela de Ignição Fram - Onix,Fram,12,COR-3-A,64.81
SCR-71503-B,Disco de Freio Bosch - HB20,Bosch,147,COR-4-B,524.58
SCR-51851-B,Amortecedor Monroe - Corolla,Monroe,109,COR-4-A,564.77
SCR-87985-A,Correia Dentada Moura - Palio,Moura,121,COR-15-A,637.0
SCR-65048-X,Correia Dentada Moura - HB20,Moura,105,COR-15-A,429.19
SCR-60053-B,Junta Homocinética Bosch - Gol G5,Bosch,23,COR-5-A,428.91
SCR-79274-X,Bomba d'Água Magneti Marelli - HB20,Magneti Marelli,45,COR-15-C,860.27
SCR-93769-A,Filtro de Óleo Fram - Palio,Fram,98,COR-4-B,171.77
SCR-87451-B,Lâmpada H4 NGK - Corolla,NGK,120,COR-17-C,714.62
SCR-20714-X,Junta Homocinética Nakata - Civic,Nakata,93,COR-2-A,251.97
SCR-12308-B,Correia Dentada Magneti Marelli - Fiat Uno,Magneti Marelli,138,COR-14-A,633.34
SCR-50728-B,Lâmpada H4 Moura - Compass,Moura,110,COR-12-B,304.55
SCR-37522-B,Cabo de Vela Monroe - Onix,Monroe,133,COR-17-B,1065.62
SCR-29551-B,Pastilha de Freio Moura - Civic,Moura,136,COR-19-A,731.3
SCR-56957-A,Bomba d'Água Magneti Marelli - Onix,Magneti Marelli,94,COR-6-B,530.62
SCR-36780-B,Vela de Ignição NGK - Compass,NGK,20,COR-17-A,375.01
SCR-68212-B,Disco de Freio Nakata - Onix,Nakata,68,COR-1-C,417.71
SCR-14267-B,Cabo de Vela Moura - Fiat Uno,Moura,80,COR-10-C,874.64
SCR-21789-X,Junta Homocinética Fram - Hilux,Fram,64,COR-1-C,745.2
SCR-76524-X,Junta Homocinética Moura - Compass,Moura,34,COR-12-C,833.23
SCR-26418-A,Pastilha de Freio Bosch - Gol G5,Bosch,8,COR-7-A,520.71
SCR-49141-X,Sensor de Oxigênio Moura - Civic,Moura,89,COR-9-C,774.85
SCR-25823-A,Lâmpada H4 Cofap - Civic,Cofap,91,COR-20-A,972.75
SCR-78675-X,Correia Dentada Fram - Corolla,Fram,136,COR-10-B,888.74
SCR-72346-A,Bateria 60Ah Fram - Gol G5,Fram,25,COR-15-B,287.85
SCR-92633-A,Amortecedor Moura - Gol G5,Moura,21,COR-11-A,25.85
SCR-58249-B,Bateria 60Ah Cofap - Palio,Cofap,125,COR-11-A,472.77
SCR-66127-B,Pastilha de Freio Moura - Fiat Uno,Moura,132,COR-7-A,26.38
SCR-29637-B,Pastilha de Freio Fram - Civic,Fram,6,COR-4-B,602.67
SCR-58225-A,Bomba d'Água NGK - Onix,NGK,67,COR-20-C,1071.69
SCR-22827-A,Correia Dentada Bosch - Gol G5,Bosch,6,COR-9-B,425.69
SCR-36771-X,Disco de Freio Magneti Marelli - Gol G5,Magneti Marelli,57,COR-4-B,585.64
SCR-76893-A,Amortecedor Magneti Marelli - Palio,Magneti Marelli,27,COR-19-A,253.69
SCR-51155-X,Pivô de Suspensão Fram - Civic,Fram,78,COR-7-C,255.63
SCR-52806-B,Palheta Magneti Marelli - Fiat Uno,Magneti Marelli,38,COR-13-B,497.25
SCR-62583-A,Disco de Freio Monroe - Civic,Monroe,91,COR-7-A,942.07
SCR-73620-A,Sensor de Oxigênio NGK - HB20,NGK,21,COR-14-B,217.5
SCR-25212-X,Bomba d'Água Moura - Gol G5,Moura,21,COR-15-C,435.06
SCR-20222-B,Pastilha de Freio Bosch - Civic,Bosch,95,COR-3-C,439.41
SCR-42885-X,Amortecedor Fram - Civic,Fram,10,COR-2-A,602.22
SCR-64909-A,Cabo de Vela Fram - Corolla,Fram,109,COR-10-B,193.73
SCR-80639-X,Pivô de Suspensão Fram - HB20,Fram,47,COR-11-B,982.8
SCR-53223-B,Vela de Ignição Magneti Marelli - Onix,Magneti Marelli,52,COR-20-C,1012.98
SCR-27407-B,Cabo de Vela Magneti Marelli - Corolla,Magneti Marelli,112,COR-1-B,878.17
SCR-50722-A,Sensor de Oxigênio Nakata - Fiat Uno,Nakata,58,COR-10-A,639.15
SCR-46614-A,Filtro de Óleo Cofap - Palio,Cofap,69,COR-14-B,1131.72
SCR-99882-A,Filtro de Óleo Nakata - Civic,Nakata,128,COR-18-A,1095.31
SCR-87392-B,Cabo de Vela Magneti Marelli - Palio,Magneti Marelli,15,COR-9-C,668.51
SCR-43559-A,Pastilha de Freio Monroe - Gol G5,Monroe,145,COR-20-A,285.56
SCR-99833-A,Junta Homocinética Magneti Marelli - Palio,Magneti Marelli,117,COR-7-A,188.83
